bussinessZones,city,cityPositionCounts,companyName,companySize,district,education,financeStage,industryField,positionID,positionLables,positionName,positionType1,postionType2,salary,workYear
"['江湾', '五角场', '复旦大学', '五角场', '复旦大学', '五角场', '复旦大学']",上海,476,上海树融数据科技有限公司,少于15人,杨浦区,本科,未融资,"企业服务,数据服务",3961234,"['数据挖掘', '大数据', '数据融合', '城市数据分析']",数据分析师,开发/测试/运维类,数据开发,10K-20K,不限
"['上钢新村', '周家渡', '上钢新村', '周家渡', '上钢新村', '周家渡']",上海,476,小黑鱼科技有限公司,150-500人,浦东新区,本科,未融资,"移动互联网,金融",3922171,"['金融', '建模', 'sas']",信用卡数据分析师-SH,金融类,银行,15k-25k,1-3年
['肇嘉浜路'],上海,476,上海常熙信息科技有限公司,15-50人,黄浦区,大专,天使轮,"数据服务,电子商务",3265406,"['数据挖掘', 'SQL', '数据管理']",数据分析师,开发/测试/运维类,数据开发,7k-14k,1-3年
"['华漕', '长征']",上海,476,北京爱奇艺科技有限公司,2000人以上,长宁区,本科,D轮及以上,"广告营销,文化娱乐",4027959,"['游戏', '建模', '数值']",游戏-项目管理助理&amp;数据分析-上海,产品/需求/项目类,数据分析,8k-15k,1-3年
"['花木', '世纪公园', '塘桥']",上海,476,深圳口袋网互联网金融服务有限公司,150-500人,浦东新区,本科,C轮,"移动互联网,金融",2723475,[],资深数据分析师,开发/测试/运维类,数据开发,15k-30k,3-5年
['张江'],上海,476,上海连尚网络科技有限公司,500-2000人,浦东新区,本科,B轮,移动互联网,3957168,"['大数据', 'sas']",数据分析师,产品/需求/项目类,数据分析,10k-20k,1-3年
"['唐镇', '曹路']",上海,476,深圳市易讯天空网络技术有限公司,150-500人,浦东新区,本科,上市公司,"移动互联网,电子商务",3907624,"['本地生活', '大数据', 'BI']",数据分析岗（O2O）,开发/测试/运维类,数据开发,13k-20k,3-5年
"['中山公园', '镇宁路']",上海,476,途家网网络技术（北京）有限公司,500-2000人,长宁区,硕士,D轮及以上,"移动互联网,O2O",4027188,"['金融', '数据挖掘', 'SPSS']",数据分析师-上海J10079,产品/需求/项目类,数据分析,8k-15k,不限
NULL,上海,476,上海矢锐文化发展有限公司,15-50人,长宁区,本科,不需要融资,其他,3809333,"['金融', '大数据', 'SPSS', 'sas', '数据管理']",数据分析,产品/需求/项目类,数据分析,5k-8k,不限
"['漕宝路', '漕河泾', '龙华']",上海,476,硬核联盟（北京）科技有限公司,50-150人,徐汇区,大专,未融资,移动互联网 广告营销,4061717,"['广告营销', '大数据', '数据挖掘', 'SPSS']",数据分析师,开发/测试/运维类,数据开发,5k-9k,1-3年
NULL,上海,476,上海轩天实业有限公司,500-2000人,松江区,本科,未融资,"其他,企业服务",4101292,"['房产服务', '数据挖掘', '深度学习', '数据管理']",数据运营专员/数据分析专员,开发/测试/运维类,数据开发,6k-8k,1-3年
NULL,上海,476,哈步数据科技（上海）有限公司,15-50人,徐汇区,本科,A轮,企业服务,2182006,"['电商', '金融']",数据分析师,运营,运营,10K-20K,1-3年
NULL,上海,476,上海融行信息技术有限公司,50-150人,闸北区,本科,B轮,"移动互联网,金融",4024163,"['高级', '大数据', '数据挖掘', 'SPSS']",数据分析,运营/编辑/客服,运营,12k-16k,3-5年
"['金沙江路', '长征', '梅川路']",上海,476,拉扎斯网络科技（上海）有限公司,2000人以上,普陀区,本科,D轮及以上,移动互联网,3423543,"['资深', '高级', '大数据', '数据挖掘', 'SPSS']",数据分析师,开发/测试/运维类,数据开发,15k-30k,1-3年
['老闵行'],上海,476,上海未谷信息技术有限公司,少于15人,闵行区,本科,天使轮,"移动互联网,O2O",4010334,"['MySQL', '数据库', 'DBA']",stata数据分析处理,开发/测试/运维类,数据开发,5k-10k,1-3年
NULL,上海,476,上海益芯金融信息服务有限公司,150-500人,浦东新区,本科,不需要融资,"移动互联网,金融",3994383,"['大数据', 'SPSS', 'sas']",数据分析师,产品/需求/项目类,数据分析,6k-10k,不限
"['张江', '北蔡']",上海,476,上海数道信息科技有限公司,15-50人,浦东新区,本科,不需要融资,数据服务,4062095,"['中级', '搜索', '算法', '数据挖掘', '机器学习']",数据分析师,开发/测试/运维类,数据开发,10k-20k,3-5年
['老西门'],上海,476,上海奥深商务咨询有限公司,150-500人,黄浦区,本科,不需要融资,"电子商务,其他",3838625,"['电商', '物流', '大数据', '专员', '商业']",数据分析员,产品/需求/项目类,数据分析,8k-15k,不限
"['唐镇', '唐镇']",上海,476,中国平安人寿保险股份有限公司,2000人以上,浦东新区,本科,上市公司,金融,3471332,"['金融', '大数据', 'SPSS', '数据管理']",数据分析岗,市场/商务/销售类,市场/营销,7k-12k,1-3年
"['外滩', '北京东路', '七浦路']",上海,476,众安在线财产保险股份有限公司,2000人以上,黄浦区,本科,上市公司,金融,3992751,"['金融', '商业', '数据挖掘', 'SPSS']",数据分析岗,产品/需求/项目类,数据分析,18k-35k,5-10年
"['北新泾', '北新泾']",上海,476,上海承胜科技发展有限公司,150-500人,长宁区,本科,不需要融资,电子商务,3834488,"['大数据', '数据管理', '业务分析']",数据分析专员,市场/商务/销售类,销售,5k-7k,不限
"['田林', '漕河泾', '虹梅路']",上海,476,拉扎斯网络科技（上海）有限公司,2000人以上,徐汇区,本科,D轮及以上,移动互联网,3716584,"['SPSS', 'sas']",数据分析师,产品/需求/项目类,数据分析,7k-10k,1-3年
"['外滩', '北京东路', '东外滩']",上海,476,众安在线财产保险股份有限公司,2000人以上,黄浦区,本科,上市公司,金融,4064364,"['电商', '大数据', '数据挖掘']",数据分析师,开发/测试/运维类,数据开发,15k-25k,1年以下
"['漕河泾', '漕宝路', '漕河泾', '虹梅路', '漕宝路', '虹梅路']",上海,476,上海易往信息技术有限公司,150-500人,徐汇区,本科,C轮,移动互联网,3796984,"['人工智能', '数据挖掘']",大数据分析师,开发/测试/运维类,数据开发,15k-25k,3-5年
"['东方路', '塘桥', '世纪公园']",上海,476,上海你我贷互联网金融信息服务有限公司,2000人以上,浦东新区,本科,未融资,金融,4059703,"['BI', '用户研究']",数据分析师,开发/测试/运维类,数据开发,15k-25k,1-3年
"['静安寺', '南京西路', '北京西路']",上海,476,北京国双科技有限公司,500-2000人,静安区,本科,上市公司,"数据服务,企业服务",3871464,"['商业', '大数据', 'BI']",数据分析总监（BA总监）,产品/需求/项目类,数据分析,25k-40k,5-10年
NULL,上海,476,福建华通银行股份有限公司,150-500人,浦东新区,本科,不需要融资,"金融,移动互联网",3294182,"['软件开发', '大数据', 'spark', 'hadoop']",数据分析平台工程师,开发/测试/运维类,软件开发,15k-30k,1-3年
"['梅园', '陆家嘴', '八佰伴']",上海,476,百融（北京）金融信息服务股份有限公司,150-500人,浦东新区,本科,B轮,"金融,数据服务",3119967,"['金融', '数据挖掘', 'SPSS', 'sas']",数据分析师/高级数据分析师：上海,产品/需求/项目类,数据分析,10k-20k,1-3年
